п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"137943";"ИП Львов Евгений Александрович, Кладовка ""СКЛАДНО""";"Москва г, ул Коминтерна, д. 8";"СВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.86190149999999";"37.6767783";"06.08.2024";"#36831215"
"ТО-2807";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва г, Снежная ул, дом 21/1";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.85487";"37.650766";"24.07.2024";"#33668877"
"131958";"Религиозная организация «Подворье Патриарха Московского и всея Руси храма Живоначальной Троицы в Свиблово г. Москвы Русской Православной Церкви (Московский Патриархат)» Воскресная школа";"Москва г, Берёзовая аллея, владение № 5/1";"СВАО";"Гранит";"Епуре А.А.";"КВ";"55.8505341";"37.6147929";"19.07.2024";"#33668834"
"136924";"ООО «ВсеИнструменты.ру»/Пункт выдачи ""Всеинструменты""";"Москва, Алтуфьевское шоссе 80";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.89433099999999";"37.5881681";"19.07.2024";"#33668869"
"131885";"ООО ""Арсе"", аптека Планета Здоровье";"Московская обл, Щелковский р-н, Свердловский рп, Михаила Марченко ул , дом № 1";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.7571972";"37.8567753";"10.07.2024";"#31418023"
"134492";"ИП Евтухова Евгения Сергеевна/(Кофейня «P3 COFFEE»)";"Москва г, Бескудниковский б-р, дом № 13";"СВАО";"Технологии Безопасности";"Дубовик А.С.";"КВ";"55.8679443";"37.5575795";"09.07.2024";"#33668905"
"91401";"ИП Мусаев, Цветы 24";"Москва, ул. Пр-т Мира, д.146";"СВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.820781";"37.642155";"05.07.2024";"#33668873"
"132874";"ИП Артамонова Надежда Федоровна Детский магазин";"г. Москва, ул. Сельскохозяйственная, д.35";"СВАО";"Гранит";"Мозговой И.В.";"КВ";"55.85377039999999";"37.6258197";"05.07.2024";"#33668812"
"136096";"ООО «КУЛИНА»/(Кулинария «ВИЛКА», Домашняя Еда)";"Москва г, Гостиничный проезд, дом № 8, корпус 1";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8438105";"37.5765194";"05.07.2024";"#33668882"
"136103";"ООО ""Крона-Мед""/стоматологическая клиника ""DREAM""";"Москва г, Чичерина ул, дом 8, корпус 2";"СВАО";"Технологии Безопасности";"Чиграй А.С.";"КВ";"55.866439";"37.654526";"05.07.2024";"#33668883"
"№719ТБ";"Раши Александра Сергеевна/Автозапчасти";"Москва г, Нововладыкинский проезд, дом № 1, корпус 1";"СВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.849292";"37.57987";"05.07.2024";"#33668844"
"ТО-№752ТБ";"ООО «НСТ Инжиниринг» (Медицинский центр «Клиника 24»)";"Московская обл, Мытищи г, Подольниха д, КП «Зеленый Мыс», ул. Клубная, владение № 6, строение 1";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"56.0808368";"37.6479706";"03.07.2024";"#33668798"
"ТО-459ТБ";"ООО ""Дом геодезии""/офис";"Московская обл, Мытищи г, Ярославское ш, дом 105";"СВАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.9138995";"37.7808848";"03.07.2024";"#33668880"
"1154";"Нотариус";"МО, г.Мытищи, 1-й трудовой переулок д.7";"СВАО";"Гранит";"Чиграй А.С.";"КВ";"55.88921629999999";"37.7210413";"02.07.2024";"#33668942"
"ТО-2791";"ИП Кречетова Екатерина Николаевна";"Москва г, Милашенкова ул, дом № 5, корпус 1";"СВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.8252595";"37.5855314";"28.06.2024";"#33668808"
"ТО-2826";"ИП Гришаева Ирина Павловна";"Москва г, Милашенкова ул, дом 7, корпус 1";"СВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.8235632";"37.58542509999999";"28.06.2024";"#33668784"
"133076";"ООО «ВОСХОД/Пекарня Буханка";"Москва г, Красная Сосна ул, дом 3, корпус 1";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.850144";"37.6831484";"27.06.2024";"#33668889"
"137019";"ООО «АЛТУФЬЕВО К» (Гастромаркет ""ЕДА"")";"Москва г, ш Алтуфьевское, д. 80";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.89433099999999";"37.5881681";"24.06.2024";"#33668868"
"ТО- № 18АС";"ООО Инвест-Капитал, АЗС Радуга";"Московская обл, г Пушкино, Учинская ул., д. 4";"СВАО";"Аллигатор";"Дубовик А.С.";"КВ";"55.9989016";"37.8393644";"17.06.2024";"https://durnovcev2000.kaiten.ru/space/346491/card/34571232"
"ТО-№ 18АС";"ООО Инвест-Капитал, АЗС Радуга";"МО, г.Пушкино, РП Лесной, ул.Достоевского, д.18";"СВАО";"Аллигатор";"Дубовик А.С.";"КВ";"56.0730924";"37.9234276";"17.06.2024";"#34571231"
"130592";"ООО «Феникс», Маркет-Гастроном";"г. Москва, Ясный проезд, д. 10";"СВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.87394699999999";"37.6290936";"14.06.2024";"#33668874"
"ТО-2808";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва г, Дежнева пр, дом 29, корпус 1";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.87075480000001";"37.6293438";"14.06.2024";"#33668884"
"134066";"ООО «ВОСХОД»/ Пекарня";"Москва г, Полярная ул, дом 27, корпус 2";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.8826838";"37.6367204";"13.06.2024";"#33668794"
"134337";"ООО ""Аэросистемы"" офис";"г. Москва, ул. 2-й Ботанический проезд 6";"СВАО";"Гранит";"Кириченко Д.";"КВ";"55.8509492";"37.6386689";"13.06.2024";"#33668817"
"39577";"ООО «МедОк» (Клиника «Инвитро»)";"г. Москва, ул. Широкая, д.7 корп.1";"СВАО";"Гранит";"Христенко Е.А.";"КВ";"55.8888264";"37.6568806";"10.06.2024";"#33668811"
"90325";"Аптека""Планета Здоровья""";"г. Пересвет, ул. Королева, д.10";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"56.4105281";"38.1724957";"16.10.2023";"#33668826"
"136264";"ООО «ВсеИнструменты.ру»";"Красноармейск г, Первомайская ул, дом 2а";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"56.0965015";"38.1191108";"21.07.2023";"#33668829"
"90541";"«ВсеИнструменты.ру»";"Московская обл, Пушкинский р-н, Пушкино г, Писаревская ул, дом № 2";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"56.0048499";"37.8426984";"-";"#33668814"
"132626";"ООО «ВсеИнструменты.ру»";"Ивантеевка г, Новая Слобода ул, дом 4";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.9686388";"37.9137293";"-";"#33668822"
"133482";"ООО «ВсеИнструменты.ру»/Пункт выдачи ""Всеинструменты""";"Пушкино г, Ярославское ш, дом 114";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.975956";"37.8560844";"-";"#33668823"
"136549";"ИП Борщенко Ирина Владимировна/Нежилое помещение";"Москва, Берёзовая аллея 17к1";"СВАО";"Гранит";"Гусев П.И.";"М";"55.8503963";"37.6184828";"-";"-"
