п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"90388";"Стоматология ""ТИП-ТОП""";"г.Москва, Мичуринский проспект, Олимпийская деревня д. 16";"Одинцово";"Гранит";"Христенко Е.А.";"КВ";"55.6724946";"37.4629589";"16.10.2024";"https://durnovcev2000.kaiten.ru/33814793"
"ТО-2222";"ИП Гаспарян Анна Арменовна, пекарня «МаМан";"Москва, Семеновская площадь 7к17";"Одинцово";"Гранит";"Сергеев С.В.";"КВ";"55.783610";"37.721301";"09.10.2024";"#31422203"
"906ТБ";"ООО Пиццета, пиццерия Пиццета";"Москва, ул Тушинская, д. 24, стр. 15";"Одинцово";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.828556";"37.4358549";"25.09.2024";"#34770476"
"132299";"ООО «ЛАСКА ГРУПП» (Гастроном)";"Москва г, Домодедовская ул, дом 44";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.60146599999999";"37.714607";"19.09.2024";"https://durnovcev2000.kaiten.ru/32510910"
"№ 904ТБ";"ООО «Атлас» (Офис АТЛАС)";"Москва г, ул Борисовские Пруды, д. 42";"Одинцово";"Технологии Безопасности";"Бурлакова Д.М.";"КВ";"55.64343520000001";"37.76952910000001";"05.09.2024";"https://durnovcev2000.kaiten.ru/34415053"
"ТО- 904ТБ";"Офис Атлас, ООО Атлас";"Москва, Борисовские пруды, 42";"Одинцово";"Технологии Безопасности";"Бурлакова Д.М.";"КВ";"55.64343520000001";"37.76952910000001";"05.09.2024";"https://durnovcev2000.kaiten.ru/space/361472/card/34415053"
"№ 665ТБ ТО";"ИП Ермолаева И.М., Арт-студия “Forma”";"Новоивановское рп, б-р Эйнштейна,2";"Одинцово";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.7009177";"37.3602426";"29.08.2024";"#32511828"
"136784";"ООО «КОСТЯКОВА К» (Гастромаркет «ЕДА»)";"Москва г, Костякова ул, дом № 6/5";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8122554";"37.5722134";"22.08.2024";"#33668828"
"ТО-6033";"Бетонный завод, здание 2и3, Админ здания";"МО, Чехов, промзона Курниково";"Одинцово";"Гранит";"Хорзов С.В.";"КВ";"55.1392444";"37.5680424";"19.08.2024";"-"
"ТО- № 6033";"ИП Гаврилова Елизавета Сергеевна Бетонный завод, здание 1, БСУ";"Московская область, г.о. Чехов, д. Курниково, территория промзона Курниково, з/у 5";"Одинцово";"Гранит";"Хорзов С.В.";"КВ";"55.0519326";"37.577556";"19.08.2024";"#35514189"
"22118";"ООО ""Азон"" /аптека Планета Здоровья";"Московская область, г.о. Мытищи, дер. Пирогово, ул. Совхозная, д. 39";"Одинцово";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9722006";"37.74109809999999";"15.08.2024";"https://durnovcev2000.kaiten.ru/37169294"
"137466)";"Юрьева Елизавета Адольфовна (Детский центр развития Содружество Самозанятых Специалистов Развития «СССР - Территория роста»";"г Красногорск, б-р Красногорский, д. 50";"Одинцово";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.8263799";"37.3761818";"08.08.2024";"#33680535"
"132496";"ИП Сусов Алексей Анатольевич /Любимая пекарня";"Московская обл, Реутов г, Ленина ул, дом № 15";"Одинцово";"Гранит";"Воробьев";"КВ";"55.767477";"37.8480238";"01.08.2024";"https://durnovcev2000.kaiten.ru/31417793"
"136642";"ООО «АПТЕЧНЫЙ СКЛАД «ПОДМОСКОВЬЕ», аптека";"Москва г, Новогиреевская ул, дом № 20/34, корпус 3";"Одинцово";"Гранит";"Епуре Ю.В.";"КВ";"55.8030529";"37.7651241";"29.07.2024";"#31421915"
"ТО-2397";"Малышок. ИП Лагутина С.С";"п.Сосенское, ул. Александры Монаховой 98/2";"Одинцово";"Гранит";"Калиниченко А.С.";"КВ";"55.56408399999999";"37.4854898";"17.07.2024";"#32510867"
"131312";"""Пицца Суши вок"" ИП Фионина Алина Николаевна";"МО г. Домодедово, ул. Текстильщиков, д. 1 г";"Одинцово";"Гранит";"Калиниченко А.С.";"КВ";"55.44138890000001";"37.7250092";"16.07.2024";"https://durnovcev2000.kaiten.ru/32510788"
"нет п/н";"Туристическая компания ЖАСМИН";"Москва, ул Южнобутовская,66";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.535441";"37.5248802";"09.07.2024";"#32510748"
"ТО№ 597";"ИП Плясунов А.В., Магазин разливного пива ""Место Пиво""";"Московская обл, Красногорск г, Глухово д, Романовская ул, дом 13";"Одинцово";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.772385";"37.2540456";"04.07.2024";"#33679944"
"131390";"ИП Литвиненко Д.И. (Магазин «Выгодный Комиссионный»)";"Московская обл, Шатура г, Ильича пр-кт, дом 55";"Одинцово";"Гранит";"Христенко Е.А.";"КВ";"55.575760";"39.525468";"24.06.2024";"#31418222"
"90325";"Аптека""Планета Здоровья""";"г. Пересвет, ул. Королева, д.10";"Одинцово";"Гранит";"Пряшников Д.Ю.";"КВ";"56.4105281";"38.1724957";"16.10.2023";"https://durnovcev2000.kaiten.ru/33668826"
"133928";"Фирсова Ирина Владимировна/ Салон красоты";"Москва г, Десеновское п, 3-я Нововатутинская ул, дом 2";"Одинцово";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.5212908";"37.3494089";"10.03.2023";"https://durnovcev2000.kaiten.ru/32511274
