"Дата заявки";"п/н ";"Адрес";"Округ";"Наименование";"Доп. информация";"Телефон клиента или менеджер";"Статус заявки";"Что сделано, отчет техника/инженера по месту";"Комментарий инженера";"Latitude";"Longitude"
"24.04.2024";"46880";"г. Лобня, Букинское шоссе, д.41 ";"Лобня";", Магазин Автозапчастей и цветов";"тревоги по 3 зоне";"-";"не назначено";"-";"-";"56.02150450000001";"37.4733445"
"24.04.2024";"91886";"Можайский Вал ул, дом № 6, строение 2";"-";"Ресторан Via Rinaldi 1";"тревоги при снятии";"-";"не назначено";"-";"-";"55.7439627";"37.5567198"
"24.04.2024";"133789";"Зеленоград, площадь Юности 2с1";"Зел";"«Хлебница»";"долбит АКБ";"-";"не назначено";"прошло востановление";"-";"56.0021903";"37.2105829"
"26.04.2024";"2298";"Профсоюзная, д. 154, корп. 4 ОС + КТС";"Теплый";"ГБУЗ ""ГП № 134 ДЗМ"" КХН";"НКС";"-";"не назначено";"-";"-";"55.62194599999999";"37.5056115"
"26.04.2024";"7825";"Ногинский р-н, СНТ Горелый лес, ул. Беговая, уч. 1374";"Ногинск";"Коттедж";"НКС";"-";"не назначено";"Гавриков Андрей Игоревич +79166499721";"-";"55.7770044";"38.3723746"
"26.04.2024";"7853";"МО, р.п. Боброво, ул. Крымская, д.3 корп. 1 кв. 73";"Боброво";"Квартира";"НКС";"-";"не назначено";"89263741228 Мария Геннадьевна";"-";"55.5368569";"37.6138703"
"26.04.2024";"8408";"Мичуринский пр-т д.25 к.1";"Раменки";"Салон красоты Блеск";"НКС";"-";"не назначено";"-";"-";"55.69704059999999";"37.5035554"
"26.04.2024";"8418";"г.Королев мкр. Болшево, Чкаловская д.3/2";"Королев";"Коттедж";"НКС";"-";"не назначено";"-";"-";"55.933333";"37.85"
"26.04.2024";"9429";"г. Видное, ул. Березовая, д. 9, кв.720";"Видное";"Квартира";"НКС";"-";"не назначено";"-";"-";"55.5416152";"37.7222978"
"26.04.2024";"9488";"6-я Радиальная,д. 5,корп.2";"Царицыно";"Карапетян Тигран ЭдуардовичОфисные помещения""";"НКС";"-";"не назначено";"Баласян Леонтий Ашотович +79263745262";"-";"55.6044604";"37.65979069999999"
"26.04.2024";"39608";" г. Долгопрудный, пос. Набережный, Береговая ул, дом № 17, квартира 9, 10 ";"Долгопрудный ";"Таунхаус";"НКС";"-";"не назначено";"Фомин Евгений Владимирович +79161693924";"-";"55.9133236";"37.4890672"
"26.04.2024";"81159";"Ак. Волгина д.8 А кв. 95";"Беляево";"Квартира";"НКС";"-";"не назначено";"-";"-";"55.651562";"37.517141"
"26.04.2024";"131281";"Садовническая 13 стр 12";"Третьяковская";"ООО Веста";"заменить АБ 20 зоны";"-";"не назначено";"-";"-";"55.747227";"37.631679"
"26.04.2024";"131727";"Крылатская 33 корп. 3";"Крылатская";"Аптека Планета здоровья ООО Аджента";"заменить АКБ";"-";"не назначено";"-";"-";"55.769766";"37.407455"
"26.04.2024";"133344";"олнечногорский р-н, Брехово д, домовладение 83";"Солнечногорск";"Все Инструменты";"заменить АКБ";"-";"не назначено";"-";"-";"55.9293549";"37.1933801"
"26.04.2024";"134834";"г.Электрогоск, Крижижановского д.1 стр.1";"г.Электрогоск";"ПВЗ Яндекс/Озон";"тревога тампера ";"-";"не назначено";"-";"-";"55.8783219";"38.7826888"
"26.04.2024";"137199";"Маршала Сергеева д.3";"молодежная";"ПВЗ Валдберис";"проблемы с вз/сн";"-";"не назначено";"-";"-";"55.7377632";"37.4139611"
"26.04.2024";"137600";"Серебрянический, д. 6, помещ. 11н";"Китай";"Офис «Нестхом НН»";"заменить АКБ";"-";"не назначено";"-";"-";"55.7496624";"37.6465888"
"02.05.2024";"1484";"Домодедовский р-н, ОПК Бор 153";"Домодедово";"Коттедж";"НКС";"-";"не назначено";"-";"-";"55.3392731";"37.8085337"
"02.05.2024";"1485";"пр-т Мира,д. 79";"Рижская";" доп. офис банка НКО Альтернатива";"проверить АБ клавиатуры, нет звука задержки";"-";"не назначено";"-";"-";"55.791178";"37.634241"
"02.05.2024";"22085";"Москва, п. Сосенское, п. Коммунарка, ул. Александры Монаховой, дом 43, корп.2, ";"-";"-";"-";"-";"не назначено";"-";"-";"55.56731180000001";"37.4817812"
"02.05.2024";"40207";"Столешников пер 7 строение 1";"Тверская";" Магазин ПИК Соувэни ООО Траектория Москва ";"потери связи";"-";"не назначено";"-";"-";"55.76298019999999";"37.6143057"
"02.05.2024";"81601";"ЖК ""Суханово Парк"" д 101 ";"Видное";"Коттедж";"проверить АКБ, разряд 7,12 зон";"-";"не назначено";"-";"-";"55.5303744";"37.667672"
"02.05.2024";"84836";" Цветной бульвар ,дом 23 ,стр 1 ";"Цветной";"Ресторан Пироги +вино и Гусь ООО Зетта";"проверить РОПП Стрельца";"-";"не назначено";"-";"-";"55.7727158";"37.620746"
