 ";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"№ 1160 ТБ";"ООО «КРМ-РЕСТ»/(кафе ""Marcela"")";"Москва, ул Винницкая, д. 8, к. 4";"ЮЗАО+ЗАО";"Технологии Безопасности";"Чиграй А.С.";"М";"55.7001763";"37.4937146";"14.04.2025";"https://durnovcev2000.kaiten.ru/45076698"
"№ 1149ТБ";"ООО ЧОП «Технологии безопасности»/(Банк Казани, периметр банка)";"Москва, Мичуринский проспект 34";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.6994894";"37.4981887";"14.04.2025";"https://durnovcev2000.kaiten.ru/44225335"
"138550";"ИП Лахваенко Ольга Александровна (Магазин Цветы)";"Москва, ул Дмитрия Ульянова, д. 10/1, к. 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.689563";"37.566291";"10.04.2025";"https://durnovcev2000.kaiten.ru/42521132"
"1096ТБ";"ИП Мочалов Алексей Андреевич, Компьютерный клуб Colizeum";"Москва, проспект Ленинский, д. 67";"ЮЗАО+ЗАО";"Технологии Безопасности";"Епуре А.А.";"КВ";"55.69142";"37.55253";"10.04.2025";"https://durnovcev2000.kaiten.ru/42963602"
"132651";"ИП Быкова Екатерина Леонидовна/Кафе «Berry Fruit Vitamin & Fresh Bar»";"Москва г, Ленинский пр-кт, дом № 64/2";"ЮЗАО+ЗАО";"Гранит";"Кузнецов М.А.";"КВ";"55.6807772";"37.5338928";"10.04.2025";"https://durnovcev2000.kaiten.ru/33814827"
"132773";"ООО «Енисейский» (Гастроном «Университетский»)";"Москва г, Строителей ул, дом 7, корпус 1";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.686026";"37.53603400000001";"10.04.2025";"https://durnovcev2000.kaiten.ru/33814841"
"136305";"ООО «Храмина» (Пекарня «Буханка»)";"Москва г, Ленинский пр-кт, дом 83";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6818377";"37.5397939";"10.04.2025";"https://durnovcev2000.kaiten.ru/33814905"
"22122";"ИП Лауга Сергей Владимирович / гастроном";"Москва г, пр-кт Ленинский, д. 62/1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6945262";"37.5549787";"10.04.2025";"https://durnovcev2000.kaiten.ru/37169100"
"138284";"ИП Кузовкова Екатерина Александровна / Гастроном";"г Москва , ул Новаторов, д. 6";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6678716";"37.5235194";"10.04.2025";"https://durnovcev2000.kaiten.ru/41127179"
"1259";"ООО ""Яндекс Маркет"" (Офис)";"Москва, пр-кт 60 лет Октября, д.18, корп. 1";"ЮЗАО+ЗАО";"Аллигатор";"Пряшников Д.Ю.";"КВ";"55.689684";"37.574193";"10.04.2025";"https://durnovcev2000.kaiten.ru/33814883"
"134304";"ООО «Вкусный Дом»/Гастроном";"Москва г, Ленинский пр-кт, дом 95";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.67323829999999";"37.52580880000001";"10.04.2025";"https://durnovcev2000.kaiten.ru/33814776"
"ТО-№ 787 ТБ";"ИП Славнова Ольга Ивановна/Центр иностранных языков YES";"Москва г, вн.тер.г. муниципальный округ Донской, ул Вавилова, д. 95, помещ. 5/1, помещение VII (помещения 1,2,3,4,5,6,7,7а)";"ЮЗАО+ЗАО";"Технологии Безопасности";"Дурновцев Н.Н.";"КВ";"55.6761063";"37.5421457";"10.04.2025";"https://durnovcev2000.kaiten.ru/33814813"
"134844";"ООО ""Ромашки""/ Аптека Фармленд";"Москва,   Ленинский проспект, д. 75/9";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.6869835";"37.545124";"10.04.2025";"https://durnovcev2000.kaiten.ru/48271730"
"131480";"ООО «ГАСТРОНОМИЯ–4» (Магазин продуктов ГАСТРОНОМ), (Сеть магазинов суши «СУШИ СТОР»)";"Москва Профсоюзная 98";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.6466109";"37.5275087";"09.04.2025";"https://durnovcev2000.kaiten.ru/33814763"
"ТО-2318";"ИП Бурхонов Мирбахтиер Урокович (Кафе-Пекарня)";"Москва г, Бутлерова ул, дом 12";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.6519129";"37.5285017";"09.04.2025";"https://durnovcev2000.kaiten.ru/33814931"
"93108";"Аптека Планета Здоровья";"Москва ул. Профсоюзная д.104/47";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6418817";"37.5236028";"09.04.2025";"https://durnovcev2000.kaiten.ru/33814940"
"22023";"«Азиатско-Тихоокеанский Банк» (АО) / офис банка";"Москва г, ул Обручева, д. 23, к. 3";"ЮЗАО+ЗАО";"КОМКОН-Безопасность";"Супонников М.С.";"КВ";"55.65754099999999";"37.5336584";"09.04.2025";"https://durnovcev2000.kaiten.ru/33814773"
"№ 692 ТБ";"ИП Грушецкий  (Магазин «Гастроном»";"Москва ул Профсоюзная, д. 144";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6246327";"37.5080146";"08.04.2025";"https://durnovcev2000.kaiten.ru/33814758"
"132713";"Магазин ООО Авоська";"Москва ул Новочеремушкинская 24.";"ЮЗАО+ЗАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.686442";"37.5834454";"08.04.2025";"https://durnovcev2000.kaiten.ru/33814919"
"131213";"ИП Щитова Елена Евгеньевна детский сад ""Sun School"")";"Москва, ул. Новочерёмушкинская, д.17";"ЮЗАО+ЗАО";"Гранит";"Чиграй А.С.";"М";"55.6826433";"37.5829157";"08.04.2025";"https://durnovcev2000.kaiten.ru/32562878"
"137296";"ООО ""ПУПА"", Кладовка ""СКЛАДНО""";"Москва, ул Кржижановского, д. 23, к. 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.6778409";"37.5774784";"08.04.2025";"https://durnovcev2000.kaiten.ru/32519880"
"138568";"ИП Лукьянов Владимир Сергеевич, Кладовка ""СКЛАДНО""";"Москва г, ул Ивана Бабушкина, д. 23, к. 2";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.682364";"37.559902";"04.04.2025";"https://durnovcev2000.kaiten.ru/44138357"
"нет3715";"Макаренко Олег Юрьевич (BUH3), бассейн";"Москва, ул. Наметкина, 8с1";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"КВ";"55.66300949999999";"37.5507207";"04.04.2025";"https://durnovcev2000.kaiten.ru/33814778"
