п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"133091";"Галой Михаил Дмитриевич (Нежилое помещение)";"Московская обл, Котельники г, Строителей ул, дом № 5";"ЮВАО";"Гранит";"Гаук Е.М.";"КВ";"55.6683743";"37.8582008";"15.01.2025";"#32562732"
"90701";"Аптека ""Планета Здоровья""";"г.Москва, ул.Генерала Кузнецова 26/1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6840641";"37.8533134";"15.01.2025";"#32562885"
"133115";"МЦ мечта";"Генерала Кузнецова 16 к2";"ЮВАО";"Гранит";"Чиграй А.С.";"М";"55.688581";"37.856926";"15.01.2025";"#32562898"
"137675";"ИП Ермаков Сергей Александрович (Кафе Pho Tom)";"Московская обл, г Жуковский, ул Баженова, д. 4/2, помещ. 2";"ЮВАО";"Технологии Безопасности";"Бурлакова Д.М.";"КВ";"55.6083437";"38.0752344";"15.01.2025";"#34415067"
"39086";"ООО ""Здравник""";"Жуковский, Гагарина, 85б";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.609637";"38.07623";"15.01.2025";"#40134383"
"137674";"ИП Ермаков С.А., Барбершоп OldBoy";"Московская область, Жуковский, Солнечная 19";"ЮВАО";"Технологии Безопасности";"Бурлакова Д.М.";"КВ";"55.60431320000001";"38.0839776";"15.01.2025";"#35499899"
"91920";"Клиника "" Инвитро"", ООО ""МедАльянс-Рыбинск""";"г. Лыткарино, ул. Первомайская, д.23";"ЮВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.58549619999999";"37.9005365";"14.01.2025";"#32562821"
"131644";"ИП Иманова А.А. Магазин «ГАСТРОНОМ №1»";"МО., г. Лыткарино, ул. Колхозная, д. 6, корп. 2";"ЮВАО";"Гранит";"Чиграй А.С.";"КВ";"55.5908704";"37.8872327";"14.01.2025";"#32562827"
"131468";"ООО Парис Магазин Ассортида";"МО г. Лыткарино ул.Ленина д. 2Б";"ЮВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.5785255";"37.9100561";"14.01.2025";"#32562830"
"134669";"ИП Коркин Виктор Михайлович/М-н табачной продукции";"Московская обл, Лыткарино г, Советская ул, дом 16";"ЮВАО";"Технологии Безопасности";"Спринчан Д.А.";"КВ";"55.5788942";"37.9037427";"14.01.2025";"#32562835"
"137628";"ИП Журавлева Евгения Александровна, магазин МИНИМАРКЕТ";"г.Котельники,Кузьминская улица,17";"ЮВАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.66691580000001";"37.8603242";"14.01.2025";"#34758832"
"90891";"ООО Драгоценности Урала, ломбард";"МО,г.Лыткарино, ул.Советская,д.12";"ЮВАО";"Гранит";"Епуре А.А.";"КВ";"55.5813526";"37.9037317";"14.01.2025";"#34597849"
"133672";"ООО ""ГРАНТ""/ Аптека Планета Здоровья";"Московская обл, Люберцы г, Октябрьский рп, Западный мкр., Школьная ул , дом 1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6808134";"37.8887253";"13.01.2025";"#32562554"
"137126";"ИП Корнеева Наталья Андреевна/(«Маковка»";"Москва ул Новохохловская, д. 15, к. 1";"ЮВАО";"Технологии Безопасности";"Ситоленко Ю.В.";"КВ";"55.727967";"37.7113939";"13.01.2025";"#32562103"
"137808";"АО Агрокомплекс";"Жулебинский бульвар 10/6 Москва";"ЮВАО";"Гранит";"Писаренко С.";"КВ";"55.698469";"37.849932";"13.01.2025";"#35755882"
"130768";"Гемотест лаборатория ООО Диана мед";"МО,Люберецкий р-н,пос.Октябрьский,ул.Ленина,19";"ЮВАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"55.6098531";"37.9749024";"13.01.2025";"#35652051"
"194119";"ООО ""ФУДСЕРВИС Магазин пятерочка";"Московская обл, Люберцы г, дп. Красково,д. Мотюково,д.59,стр.19";"ЮВАО";"Эсток-Сервис";"Михно С.С.";"КВ";"55.6998806";"38.0042029";"10.01.2025";"#32562026"
"91994";"Склады Магазина рыбалки и охоты ООО Компания Сплав";"п. Марусино,1 А (склад 1) 1 А/5 (склад 2) 1 А/7 (склад 3)";"ЮВАО";"Гранит";"Супонников М.С.";"М";"55.6967108";"37.9744717";"10.01.2025";"#32563023"
"ТО-84";"ООО Л Дизайн";"Москва, ш. Фрейзер, д.17Ас3";"ЮВАО";"Гранит";"Гусев П.И.";"КВ";"55.7349997";"37.7364569";"10.01.2025";"#32510685"
"132943";"ИП Черевань Алла Шамильевна";"Московская обл, г. Люберцы, ул. Преображенская, д. 13, пом. 12";"ЮВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.683331";"37.9103177";"09.01.2025";"#32562245"
"136065";"ИП Семенкова Екатерина Александровна/(«Маковка»)";"Люберцы г, Преображенская ул, дом 4";"ЮВАО";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.6848855";"37.9099775";"09.01.2025";"#32562265"
"1463";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва г, Волгоградский пр-кт, дом 119/22, этаж 1, помещение 3, ком 1-3";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.706453";"37.764458";"09.01.2025";"#32562442"
"ТО № 6006";"Пекарня Буханка";"Москва Окская 7а";"ЮВАО";"Гранит";"Мозговой И.В.";"КВ";"55.7138112";"37.7627279";"09.01.2025";"#32562449"
"93389";"ООО ""ПИТ-СТОП СЕРВИС""/АвтоТехЦентр";"Московская обл, Люберцы г, Инициативная ул, дом 50";"ЮВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.681911";"37.910568";"09.01.2025";"#32562592"
"91262";"Гостиница Турист";"Окская 5к3";"ЮВАО";"Гранит";"Мушкетов Д.В.";"М";"55.7148283";"37.7566623";"09.01.2025";"#32562965"
"ТО-200ТБ";"АО «ТД Шатер-Инвест»/магазин";"Московская обл, Люберцы г, Котельническая ул, дом 24А";"ЮВАО";"Технологии Безопасности";"Епуре А.А.";"КВ";"55.6685358";"37.88902179999999";"09.01.2025";"#32563097"
"1327";"ИП Финевич Олеся Валерьевна («Bambini-Club» международная сеть частных детских д. садов)";"Люберцы г, Преображенская ул, дом 6, корпус 2, этаж 1";"ЮВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.68758";"37.90473";"08.01.2025";"#32511444"
"№ 728ТБ";"ИП Субботин Роман Александрович/Магазин Фейерверки";"Московская обл, Люберцы г, Октябрьский пр-кт, дом № 366";"ЮВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.6623738";"37.9107084";"27.12.2024";"#32562027"
"133536";"ООО ""Лето"" /Аптека Планета Здоровья";"Московская обл, Котельники г, Силикат мкр., дом 6А";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6497008";"37.8584646";"27.12.2024";"#32562763"
"133130";"ООО ""Лето"" /Аптека Планета Здоровья";"МО, г. Котельники, мкр. Силикат, д. 38";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6492984";"37.8580043";"27.12.2024";"#33174257"
"131870";"ООО ""Здравник""/Аптека Планета Здоровья";"Дзержинский г, Поклонная ул, дом № 3 А, помещение 106";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6326018";"37.8503572";"26.12.2024";"#32562225"
"136097";"ООО «ОФ ВАЙТ» (Офис – склад «ОФ ВАЙТ»)";"Московская обл, Люберцы г, Гагарина пр-кт, дом 3/8";"ЮВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6867551";"37.9067789";"26.12.2024";"#32562233"
"132338";"ООО ""МЕРИДИАН""/ Аптека Планета Здоровья";"Московская обл, Дзержинский г, Лесная ул, дом № 18";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6438216";"37.886634";"26.12.2024";"#32562473"
"151454";"ООО ""Ориент Сервис Плюс"" магазин ""Авоська""";"МО, Дзержинский, ул. Томилинская д. 7";"ЮВАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.6276734";"37.862139";"26.12.2024";"#32562479"
"ТО-471";"ООО «Империя»/Меджик Фитнес";"г. Дзержинский, ул. Лесная, д. 15а, пом 239";"ЮВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.63096";"37.86224";"26.12.2024";"#32562487"
"135133";"ООО ""ОЛИМП"" /Аптека Планета Здоровья";"Московская обл, Дзержинский г, Лесная ул, дом 4, помещение 4";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.64489469999999";"37.8888959";"26.12.2024";"#32562488"
"134588";"ООО «Система»/Пекарня Буханка";"МО , г.Люберцы , ул.Камова , 9к1";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.704807";"37.8717989";"26.12.2024";"#32562787"
"133405";"ООО ""Здравник""/Аптека Планета Здоровья";"Московская обл, Люберцы г, Камова ул , дом 7, корпус 1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6982691";"37.9570052";"26.12.2024";"#32562792"
"92212";"ИП Намазов А.А. Оглы/Магазин продуктов";"Московская обл, Люберцы г, Камова, дом 5, корпус 1";"ЮВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.705972";"37.87117";"26.12.2024";"#32562798"
"135222";"ООО «ОФ ВАЙТ» (Офис – склад «ОФ ВАЙТ»)";"Московская обл, Люберцы г, Комсомольский пр-кт, дом 16/2";"ЮВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6907387";"37.9061323";"25.12.2024";"#32562221"
"137702";"Левашова Ольга Вячеславовна / Магазин «Шаурма. Табак. Разливное Пиво. Химчистка «Диана»";"Москва г, Юных Ленинцев ул, дом 3";"ЮВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6995884";"37.736044";"25.12.2024";"#32562345"
"93062";"Планета здоровья";"Москва, 2 Карачаровская 1 строение 1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7347022";"37.752647";"25.12.2024";"#32562923"
"90979";"Аптека ""Планета здоровья""";"г.Люберцы ул. Юности 9";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7032836";"37.9078768";"25.12.2024";"#32563054"
"84387";"ЗАО МПО Электромонтаж офис";"Москва, Паперника, д.7, корп.1";"ЮВАО";"Аллигатор";"Супонников М.С.";"КВ";"55.720302";"37.7853293";"25.12.2024";"https://durnovcev2000.kaiten.ru/space/355641/boards/card/32562645"
"131669";"ООО «Доктор Ф» Медицинский центр «Доктор Ф»";"г. Москва, ул. Татьяны Макаровой, д.4";"ЮВАО";"Гранит";"Чиграй А.С.";"КВ";"55.71017029999999";"37.8890989";"24.12.2024";"#32562273"
"1459";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Лига";"Москва г, Шоссейная ул, дом 4, корпус 1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.692045";"37.727372";"24.12.2024";"#33679971"
"93124";"Планета Здоровья";"Москва, Шоссейная 4к1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6919947";"37.7272971";"24.12.2024";"#32562985"
"133007";"ООО ""Планета Здоровья Холдинг"" / Аптека Планета Здоровья";"Московская обл, Люберцы г, Летчика Ларюшина ул, дом 20";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6764893";"37.8606366";"23.12.2024";"#32562816"
"91256";"Аптека ""Планета Здоровья""";"МО, Котельники, Сосновая 1к2";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6705672";"37.8549666";"23.12.2024";"#32562863"
"137534";"ИП Шелег Любовь Вячеславна/«Маковка»";"Московская обл, г Люберцы, ул лётчика Ларюшина, д. 20";"ЮВАО";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.6764893";"37.8606366";"23.12.2024";"#33237954"
"137833";"ООО «АЙСЕЛЬ» (Маникюр, цветы, кофе)";"Люберцы, ул лётчика Ларюшина, д. 4, к. 2";"ЮВАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"55.676104";"37.8629092";"23.12.2024";"https://durnovcev2000.kaiten.ru/space/355641/card/42522459"
"134589";"ВКУСНО ООО /Пекарня Буханка";"Московская обл, Котельники г, Строителей ул, дом № 5";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.6532044";"37.8613222";"12.12.2024";"#32562736"
"93345";"нотариус Семёнов";"Котельники, ул. Новая 14";"ЮВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.6630762";"37.8729721";"12.12.2024";"#32562753"
"131919";"МО МОЦОМД";"Люберцы Мира6";"ЮВАО";"Нева-2";"Дубовик А.С.";"М";"55.6606537";"37.9101289";"11.12.2024";"#32562154"
"133352\133760";"ООО «МОНДИАРА»/офис (133352) И 2 (133760)";"Москва г, Привольная ул, дом 65/32";"ЮВАО";"Технологии Безопасности";"Чиграй А.С.";"КВ";"55.681677";"37.8481622";"11.12.2024";"-"
"90590";"ПАРТНЁР ООО, Кафе-бар ""ВЖАРИМ""";"МО, г.Люберцы, пр-д. Волковский, 4";"ЮВАО";"Гранит";"Хорзов С.В.";"КВ";"55.67768599999999";"37.90089070000001";"11.12.2024";"#32562424"
"69715";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Московская обл, Люберцы г, Смирновская ул, дом 18/20, помещение II";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.68058";"37.895892";"11.12.2024";"#32562662"
"ТО-993";"ООО «ВИС-АКТИВ»/Магазин автозапчастей";"Москва г, Авиаконструктора Миля ул, дом 15, корпус 1";"ЮВАО";"Гранит";"Химич А.";"КВ";"55.6810291";"37.8576154";"11.12.2024";"#32511334"
