п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"1327";"ИП Финевич Олеся Валерьевна («Bambini-Club» международная сеть частных детских д. садов)";"Люберцы г, Преображенская ул, дом 6, корпус 2, этаж 1";"ВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.68758";"37.90473";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562454"
"90936";"Аптека Планета Здоровья";"Москва, проспект защитников Москвы 10";"ВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7003044";"37.9218379";"06.05.2025";"https://durnovcev2000.kaiten.ru/32563074"
"137379";"Щипакина Татьяна Ивановна/Ломбард Табак";"МО,Ленинский район,сел. пос. Булатниковское,д.Дрожжино,ул.Новое шоссе,д.9,пом.4";"ВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.52767160000001";"37.5863193";"06.05.2025";"https://durnovcev2000.kaiten.ru/32955371"
"ТО-978";"ИП Монич Яна Валериевна  (Кафе ""DonerCafe"")";"Люберцы, Комсомольский пр-т 10/1, помещение 017";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.68861880000001";"37.9045527";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562463"
"90280 / 132557/132290/132558/ 135193";"МРОПП храм святой преподобно мученицы великой княгини Елисаветы в Щербинке гор. Москвы Храм и Воскресная школа (общий)";"МО, Щербинка, ул. Железнодорожная д. 15";"ВАО";"Гранит";"Михно С.С.";"КВ";"55.5097423";"37.5636088";"06.05.2025";"https://durnovcev2000.kaiten.ru/32511329"
"91932";"Стоматология";"г.Москва, Покровская 12";"ВАО";"Гранит";"Чиграй А.С.";"КВ";"55.7591001";"37.6444543";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562626"
"136181";"ИП Гордеев Михаил Юрьевич/Кладовка ""СКЛАДНО""";"Москва г, Алтуфьевское ш, дом № 28";"ВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8838637";"37.5872482";"05.05.2025";"https://durnovcev2000.kaiten.ru/33668786"
"91297";"ИП Цветков Александр Валерьевич (Пекарня-кондитерская «ЛАКМА»)";"МО, г. Одинцово, ул. Маршала Толубко, д. 3, корп. 2";"ВАО";"Гранит";"Чиграй А.С.";"М";"55.6810376";"37.2970362";"05.05.2025";"https://durnovcev2000.kaiten.ru/32511962"
"137860";"ООО «Мовэра»";"Москва, Зеленодольская улица 32/3";"ВАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.7106155";"37.7678556";"05.05.2025";"https://durnovcev2000.kaiten.ru/32562364"
"91351";"магазин Ассортида, ИП Герасимова Людмила Васильевна (магазин продуктов) магазин Ассортида";"г. Москва, ул. Чертановская 9 с. 2";"ВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.6291004";"37.6006902";"22.04.2025";"https://durnovcev2000.kaiten.ru/32510837"
"ТО-999";"ИП Волжин Артур Викторович Нежилое помещение";"г. Москва, мкр. Чертаново Северное, д.1а (3 этаж, пом.58)";"ВАО";"Гранит";"Чиграй А.С.";"КВ";"55.6632602";"37.59913530000001";"22.04.2025";"https://durnovcev2000.kaiten.ru/32510846"
